"game_id","team_id","player_id"
2015020165,12,8474661
2015020165,12,8475250
2015020165,12,8475807
2015020165,14,8477494
2015020165,14,8476539
2015020165,14,8476300
2017020696,2,8475231
2017020696,2,8476409
2017020696,2,8469619
2017020696,6,8476191
2017020696,6,8474074
2017020696,6,8478366
2016020759,4,8474584
2016020759,4,8476906
2016020759,4,8478439
2016020759,8,8477413
2016020759,8,8474688
2017020164,30,8475157
2017020164,30,8477467
2017020164,30,8470610
2017020164,5,8476326
2017020164,5,8476302
2016020889,30,8477850
2016020889,30,8475613
2016020889,16,8471956
2016020889,16,8465058
2016020889,16,8469547
2017020059,29,8478541
2017020059,29,8476449
2017020059,29,8475147
2017020059,3,8477950
2017020059,3,8474000
2015020528,2,8470609
2015020528,2,8460720
2015020528,2,8469623
2015020528,10,8476302
2015020528,10,8476343
2017020953,15,8477474
2017020953,15,8480143
2017020953,15,8477944
2017020953,7,8473992
2017020953,7,8475169
2017020952,1,8474625
2017020952,1,8477509
2017020952,2,8466251
2017020952,2,8475869
2017020952,2,8469619
2017020562,5,8471724
2017020562,5,8478866
2017020562,29,8478567
2017020562,29,8478460
2017021081,54,8476779
2017021081,54,8475715
2017021081,54,8471707
2017021081,54,8474579
2017021081,54,8475191
2017021081,54,8480727
2017021081,1,8479407
2017021081,1,8474625
2017021081,1,8477509
2017021081,1,8478401
2017020955,25,8471691
2017020955,25,8477945
2017020955,52,8477448
2017020955,52,8477359
2016020305,28,8476331
2016020305,28,8476624
2016020305,28,8477922
2016020305,2,8470860
2016020305,2,8476429
2016020305,2,8476458
2017021218,4,8477462
2017021218,4,8476955
2017021218,4,8473607
2017021218,4,8469665
2017021218,4,8477290
2017021218,4,8474668
2017021218,6,8478443
2017021218,6,8476374
2017021218,6,8479325
2017021218,6,8470041
2017021218,6,8474062
2016020425,10,8476302
2016020425,10,8476410
2016020425,10,8475716
2016020425,21,8474577
2016020425,21,8474597
2017020058,1,8473933
2017020058,1,8477509
2017020058,1,8471226
